column1	column2	column1_stemmed	column2_stemmed	column1_lemmatized	column2_lemmatized
me, too. couldn't wait graduate.	work hard, too.	me, too. couldn't wait graduate.	work hard, too.	me, too. couldn't wait graduate.	work hard, too.
work hard, too.	agree. work hard school.	work hard, too.	agree. work hard school.	work hard, too.	agree. work hard school.
agree. work hard school.	wish school.	agree. work hard school.	wish school.	agree. work hard school.	wish school.
wish school.	me, too. school fun.	wish school.	me, too. school fun.	wish school.	me, too. school fun.
me, too. school fun.	12 years.	me, too. school fun.	12 years.	me, too. school fun.	12 years.
12 years.	went pretty fast.	12 years.	went pretty fast.	12 years.	went pretty fast.
went pretty fast.	work goes forever!	went pretty fast.	work goes forever!	went pretty fast.	work goes forever!
work goes forever!	work 30 years!	work goes forever!	work 30 years!	work goes forever!	work 30 years!
i'm sleepy.	i.	i'm sleepy.	i.	i'm sleepy.	i.
i.	long day.	i.	long day.	i.	long day.
long day.	i.	long day.	i.	long day.	i.
i.	didn't lunch.	i.	didn't lunch.	i.	didn't lunch.
didn't lunch.	i.	didn't lunch.	i.	didn't lunch.	i.
i.	busy day.	i.	busy day.	i.	busy day.
busy day.	i.	busy day.	i.	busy day.	i.
i.	bring work home me.	i.	bring work home me.	i.	bring work home me.
bring work home me.	too.	bring work home me.	too.	bring work home me.	too.
too.	day like mine.	too.	day like mine.	too.	day like mine.
day like mine.	course was. work together!	day like mine.	course was. work together!	day like mine.	course was. work together!
don't like job.	do?	don't like job.	do?	don't like job.	do?
do?	i'm babysitter.	do?	i'm babysitter.	do?	i'm babysitter.
i'm babysitter.	lot work?	i'm babysitter.	lot work?	i'm babysitter.	lot work?
lot work?	babies cry time.	lot work?	babies cry time.	lot work?	babies cry time.
babies cry time.	change diapers.	babies cry time.	change diapers.	babies cry time.	change diapers.
change diapers.	feed them.	change diapers.	feed them.	change diapers.	feed them.
feed them.	looking job?	feed them.	looking job?	feed them.	looking job?
looking job?	no, i'm looking family.	looking job?	no, i'm looking family.	looking job?	no, i'm looking family.
no, i'm looking family.	family?	no, i'm looking family.	family?	no, i'm looking family.	family?
family?	family baby.	family?	family baby.	family?	family baby.
family baby.	that's good idea.	family baby.	that's good idea.	family baby.	that's good idea.
need job.	job?	need job.	job?	need job.	job?
job?	painter.	job?	painter.	job?	painter.
painter.	happened?	painter.	happened?	painter.	happened?
happened?	got laid work.	happened?	got laid work.	happened?	got laid work.
got laid work.	do?	got laid work.	do?	got laid work.	do?
do?	i'm handyman.	do?	i'm handyman.	do?	i'm handyman.
i'm handyman.	fix dripping faucet kitchen sink?	i'm handyman.	fix dripping faucet kitchen sink?	i'm handyman.	fix dripping faucet kitchen sink?
fix dripping faucet kitchen sink?	course.	fix dripping faucet kitchen sink?	course.	fix dripping faucet kitchen sink?	course.
course.	job kitchen.	course.	job kitchen.	course.	job kitchen.
job kitchen.	cost $20 plus parts.	job kitchen.	cost $20 plus parts.	job kitchen.	cost $20 plus parts.
cost $20 plus parts.	okay. sounds like fair price.	cost $20 plus parts.	okay. sounds like fair price.	cost $20 plus parts.	okay. sounds like fair price.
lost job?	idea. i've 20 years.	lost job?	idea. i've 20 years.	lost job?	idea. i've 20 years.
idea. i've 20 years.	skills?	idea. i've 20 years.	skills?	idea. i've 20 years.	skills?
skills?	well, know flip hamburgers.	skills?	well, know flip hamburgers.	skills?	well, know flip hamburgers.
well, know flip hamburgers.	hire flip hamburgers.	well, know flip hamburgers.	hire flip hamburgers.	well, know flip hamburgers.	hire flip hamburgers.
hire flip hamburgers.	heard you're telling me?	hire flip hamburgers.	heard you're telling me?	hire flip hamburgers.	heard you're telling me?
heard you're telling me?	mean?	heard you're telling me?	mean?	heard you're telling me?	mean?
mean?	going layoffs place?	mean?	going layoffs place?	mean?	going layoffs place?
going layoffs place?	certainly hope not!	going layoffs place?	certainly hope not!	going layoffs place?	certainly hope not!
certainly hope not!	got laid off, you'd flipping hamburgers, too.	certainly hope not!	got laid off, you'd flipping hamburgers, too.	certainly hope not!	got laid off, you'd flipping hamburgers, too.
got laid off, you'd flipping hamburgers, too.	oh great, work burger king.	got laid off, you'd flipping hamburgers, too.	oh great, work burger king.	got laid off, you'd flipping hamburgers, too.	oh great, work burger king.
oh great, work burger king.	maybe we'd laid there, too.	oh great, work burger king.	maybe we'd laid there, too.	oh great, work burger king.	maybe we'd laid there, too.
students talk jobs?	yes, ask jobs best.	students talk jobs?	yes, ask jobs best.	students talk jobs?	yes, ask jobs best.
yes, ask jobs best.	tell students teacher.	yes, ask jobs best.	tell students teacher.	yes, ask jobs best.	tell students teacher.
tell students teacher.	teaching great job.	tell students teacher.	teaching great job.	tell students teacher.	teaching great job.
teaching great job.	it's best job i've had.	teaching great job.	it's best job i've had.	teaching great job.	it's best job i've had.
it's best job i've had.	makes good?	it's best job i've had.	makes good?	it's best job i've had.	makes good?
makes good?	me, it's students.	makes good?	me, it's students.	makes good?	me, it's students.
me, it's students.	mean?	me, it's students.	mean?	me, it's students.	mean?
mean?	mean wonderful students.	mean?	mean wonderful students.	mean?	mean wonderful students.
mean wonderful students.	nice.	mean wonderful students.	nice.	mean wonderful students.	nice.
nice.	teaching best day.	nice.	teaching best day.	nice.	teaching best day.
teaching best day.	you're lucky man job love.	teaching best day.	you're lucky man job love.	teaching best day.	you're lucky man job love.
boy, i'm glad job finished.	long take?	boy, i'm glad job finished.	long take?	boy, i'm glad job finished.	long take?
long take?	hours, break.	long take?	hours, break.	long take?	hours, break.
hours, break.	it's nice finish job.	hours, break.	it's nice finish job.	hours, break.	it's nice finish job.
it's nice finish job.	well, it's good bad.	it's nice finish job.	well, it's good bad.	it's nice finish job.	well, it's good bad.
well, it's good bad.	what's bad it?	well, it's good bad.	what's bad it?	well, it's good bad.	what's bad it?
what's bad it?	finish, start job!	what's bad it?	finish, start job!	what's bad it?	finish, start job!
finish, start job!	yes, that's right. boring.	finish, start job!	yes, that's right. boring.	finish, start job!	yes, that's right. boring.
yes, that's right. boring.	especially it's work, over.	yes, that's right. boring.	especially it's work, over.	yes, that's right. boring.	especially it's work, over.
especially it's work, over.	that's people do.	especially it's work, over.	that's people do.	especially it's work, over.	that's people do.
that's people do.	yes, guess stuck routine.	that's people do.	yes, guess stuck routine.	that's people do.	yes, guess stuck routine.
yes, guess stuck routine.	wonder job don't repeat over.	yes, guess stuck routine.	wonder job don't repeat over.	yes, guess stuck routine.	wonder job don't repeat over.
think worst boss world.	makes bad?	think worst boss world.	makes bad?	think worst boss world.	makes bad?
makes bad?	he's rude yells lot.	makes bad?	he's rude yells lot.	makes bad?	he's rude yells lot.
he's rude yells lot.	that's hard take.	he's rude yells lot.	that's hard take.	he's rude yells lot.	that's hard take.
that's hard take.	i've heard thank you.	that's hard take.	i've heard thank you.	that's hard take.	i've heard thank you.
i've heard thank you.	sounds like real jerk.	i've heard thank you.	sounds like real jerk.	i've heard thank you.	sounds like real jerk.
sounds like real jerk.	work likes him.	sounds like real jerk.	work likes him.	sounds like real jerk.	work likes him.
work likes him.	can't report supervisor?	work likes him.	can't report supervisor?	work likes him.	can't report supervisor?
can't report supervisor?	course not. that, i'll lose job.	can't report supervisor?	course not. that, i'll lose job.	can't report supervisor?	course not. that, i'll lose job.
course not. that, i'll lose job.	yes, don't like troublemakers complainers.	course not. that, i'll lose job.	yes, don't like troublemakers complainers.	course not. that, i'll lose job.	yes, don't like troublemakers complainers.
yes, don't like troublemakers complainers.	can't quit, i'm making good salary.	yes, don't like troublemakers complainers.	can't quit, i'm making good salary.	yes, don't like troublemakers complainers.	can't quit, i'm making good salary.
can't quit, i'm making good salary.	shouldn't choose money happiness.	can't quit, i'm making good salary.	shouldn't choose money happiness.	can't quit, i'm making good salary.	shouldn't choose money happiness.
going do?	what?	going do?	what?	going do?	what?
what?	finding job me.	what?	finding job me.	what?	finding job me.
finding job me.	don't need job. money us.	finding job me.	don't need job. money us.	finding job me.	don't need job. money us.
don't need job. money us.	doesn't matter. don't want sit around.	don't need job. money us.	doesn't matter. don't want sit around.	don't need job. money us.	doesn't matter. don't want sit around.
doesn't matter. don't want sit around.	okay, kind job want?	doesn't matter. don't want sit around.	okay, kind job want?	doesn't matter. don't want sit around.	okay, kind job want?
okay, kind job want?	i'm sure.	okay, kind job want?	i'm sure.	okay, kind job want?	i'm sure.
i'm sure.	well, enjoy.	i'm sure.	well, enjoy.	i'm sure.	well, enjoy.
well, enjoy.	enjoy selling. born sell.	well, enjoy.	enjoy selling. born sell.	well, enjoy.	enjoy selling. born sell.
enjoy selling. born sell.	okay, want sell?	enjoy selling. born sell.	okay, want sell?	enjoy selling. born sell.	okay, want sell?
okay, want sell?	cigarette lighters. i'll fortune.	okay, want sell?	cigarette lighters. i'll fortune.	okay, want sell?	cigarette lighters. i'll fortune.
cigarette lighters. i'll fortune.	hate cigarettes hate smoking!	cigarette lighters. i'll fortune.	hate cigarettes hate smoking!	cigarette lighters. i'll fortune.	hate cigarettes hate smoking!
new hotel looking workers.	yes, saw tv news.	new hotel looking workers.	yes, saw tv news.	new hotel looking workers.	yes, saw tv news.
yes, saw tv news.	need 300 new workers.	yes, saw tv news.	need 300 new workers.	yes, saw tv news.	need 300 new workers.
need 300 new workers.	4,000 people showed up.	need 300 new workers.	4,000 people showed up.	need 300 new workers.	4,000 people showed up.
4,000 people showed up.	people work.	4,000 people showed up.	people work.	4,000 people showed up.	people work.
people work.	job, thank goodness.	people work.	job, thank goodness.	people work.	job, thank goodness.
job, thank goodness.	i, i'm worried.	job, thank goodness.	i, i'm worried.	job, thank goodness.	i, i'm worried.
i, i'm worried.	too. guarantees.	i, i'm worried.	too. guarantees.	i, i'm worried.	too. guarantees.
too. guarantees.	lose job, me.	too. guarantees.	lose job, me.	too. guarantees.	lose job, me.
lose job, me.	oh, thank you. that's nice you.	lose job, me.	oh, thank you. that's nice you.	lose job, me.	oh, thank you. that's nice you.
oh, thank you. that's nice you.	me.	oh, thank you. that's nice you.	me.	oh, thank you. that's nice you.	me.
me.	course. friends for?	me.	course. friends for?	me.	course. friends for?
think real stupid.	do?	think real stupid.	do?	think real stupid.	do?
do?	bought stock.	do?	bought stock.	do?	bought stock.
bought stock.	everybody buys stock.	bought stock.	everybody buys stock.	bought stock.	everybody buys stock.
everybody buys stock.	bought hunch.	everybody buys stock.	bought hunch.	everybody buys stock.	bought hunch.
bought hunch.	didn't read company first?	bought hunch.	didn't read company first?	bought hunch.	didn't read company first?
didn't read company first?	didn't to. it's business 60 years.	didn't read company first?	didn't to. it's business 60 years.	didn't read company first?	didn't to. it's business 60 years.
didn't to. it's business 60 years.	what's problem?	didn't to. it's business 60 years.	what's problem?	didn't to. it's business 60 years.	what's problem?
what's problem?	savings company.	what's problem?	savings company.	what's problem?	savings company.
savings company.	eggs basket.	savings company.	eggs basket.	savings company.	eggs basket.
eggs basket.	company goes business, i'll nothing.	eggs basket.	company goes business, i'll nothing.	eggs basket.	company goes business, i'll nothing.
company goes business, i'll nothing.	oh, you'll somethingyou'll lesson you'll forget!	company goes business, i'll nothing.	oh, you'll somethingyou'll lesson you'll forget!	company goes business, i'll nothing.	oh, you'll somethingyou'll lesson you'll forget!
going doctor.	happened plans?	going doctor.	happened plans?	going doctor.	happened plans?
happened plans?	got d college chemistry.	happened plans?	got d college chemistry.	happened plans?	got d college chemistry.
got d college chemistry.	well, d better f.	got d college chemistry.	well, d better f.	got d college chemistry.	well, d better f.
well, d better f.	tutor helped d!	well, d better f.	tutor helped d!	well, d better f.	tutor helped d!
tutor helped d!	so, didn't doctor.	tutor helped d!	so, didn't doctor.	tutor helped d!	so, didn't doctor.
so, didn't doctor.	i'm glad didn't.	so, didn't doctor.	i'm glad didn't.	so, didn't doctor.	i'm glad didn't.
i'm glad didn't.	why's that?	i'm glad didn't.	why's that?	i'm glad didn't.	why's that?
why's that?	hospital dangerous place world.	why's that?	hospital dangerous place world.	why's that?	hospital dangerous place world.
hospital dangerous place world.	oh, yes, killer germs.	hospital dangerous place world.	oh, yes, killer germs.	hospital dangerous place world.	oh, yes, killer germs.
oh, yes, killer germs.	you're smart doctor, stay away hospitals.	oh, yes, killer germs.	you're smart doctor, stay away hospitals.	oh, yes, killer germs.	you're smart doctor, stay away hospitals.
you're smart doctor, stay away hospitals.	yes, smart doctors tv news doctorsno hospitals, patients.	you're smart doctor, stay away hospitals.	yes, smart doctors tv news doctorsno hospitals, patients.	you're smart doctor, stay away hospitals.	yes, smart doctors tv news doctorsno hospitals, patients.
want mail carrier grow up.	why?	want mail carrier grow up.	why?	want mail carrier grow up.	why?
why?	meet lot people.	why?	meet lot people.	why?	meet lot people.
meet lot people.	sure do.	meet lot people.	sure do.	meet lot people.	sure do.
sure do.	lot exercise day.	sure do.	lot exercise day.	sure do.	lot exercise day.
lot exercise day.	that's truth.	lot exercise day.	that's truth.	lot exercise day.	that's truth.
that's truth.	play lot dogs.	that's truth.	play lot dogs.	that's truth.	play lot dogs.
play lot dogs.	well, you're supposed working.	play lot dogs.	well, you're supposed working.	play lot dogs.	well, you're supposed working.
well, you're supposed working.	yes, pet friendly dogs.	well, you're supposed working.	yes, pet friendly dogs.	well, you're supposed working.	yes, pet friendly dogs.
yes, pet friendly dogs.	unfriendly dogs?	yes, pet friendly dogs.	unfriendly dogs?	yes, pet friendly dogs.	unfriendly dogs?
unfriendly dogs?	think friendly dogs, friendly you.	unfriendly dogs?	think friendly dogs, friendly you.	unfriendly dogs?	think friendly dogs, friendly you.
think friendly dogs, friendly you.	dogs like peoplenot friendly.	think friendly dogs, friendly you.	dogs like peoplenot friendly.	think friendly dogs, friendly you.	dogs like peoplenot friendly.
want new york.	state city?	want new york.	state city?	want new york.	state city?
state city?	city, course.	state city?	city, course.	state city?	city, course.
city, course.	want there?	city, course.	want there?	city, course.	want there?
want there?	want lot money.	want there?	want lot money.	want there?	want lot money.
want lot money.	lot poor people new york.	want lot money.	lot poor people new york.	want lot money.	lot poor people new york.
lot poor people new york.	sure areat million.	lot poor people new york.	sure areat million.	lot poor people new york.	sure areat million.
sure areat million.	plan rich?	sure areat million.	plan rich?	sure areat million.	plan rich?
plan rich?	knock doors corporations.	plan rich?	knock doors corporations.	plan rich?	knock doors corporations.
knock doors corporations.	won't rich. talk you.	knock doors corporations.	won't rich. talk you.	knock doors corporations.	won't rich. talk you.
won't rich. talk you.	knocking doors.	won't rich. talk you.	knocking doors.	won't rich. talk you.	knocking doors.
knocking doors.	sore knuckles.	knocking doors.	sore knuckles.	knocking doors.	sore knuckles.
love salads.	too.	love salads.	too.	love salads.	too.
too.	usually eat simple salad.	too.	usually eat simple salad.	too.	usually eat simple salad.
usually eat simple salad.	it?	usually eat simple salad.	it?	usually eat simple salad.	it?
it?	lettuce, tomato, celery.	it?	lettuce, tomato, celery.	it?	lettuce, tomato, celery.
lettuce, tomato, celery.	that's it?	lettuce, tomato, celery.	that's it?	lettuce, tomato, celery.	that's it?
that's it?	add pepper salt.	that's it?	add pepper salt.	that's it?	add pepper salt.
add pepper salt.	cheese salads.	add pepper salt.	cheese salads.	add pepper salt.	cheese salads.
cheese salads.	yes, cheese nice.	cheese salads.	yes, cheese nice.	cheese salads.	yes, cheese nice.
yes, cheese nice.	kind dressing use?	yes, cheese nice.	kind dressing use?	yes, cheese nice.	kind dressing use?
kind dressing use?	pour lots french dressing top.	kind dressing use?	pour lots french dressing top.	kind dressing use?	pour lots french dressing top.
pour lots french dressing top.	too. french dressing delicious! cares calories?	pour lots french dressing top.	too. french dressing delicious! cares calories?	pour lots french dressing top.	too. french dressing delicious! cares calories?
love cheese.	too.	love cheese.	too.	love cheese.	too.
too.	cheese come from?	too.	cheese come from?	too.	cheese come from?
cheese come from?	comes cows.	cheese come from?	comes cows.	cheese come from?	comes cows.
comes cows.	cheese cows, milk, too?	comes cows.	cheese cows, milk, too?	comes cows.	cheese cows, milk, too?
cheese cows, milk, too?	yes, do.	cheese cows, milk, too?	yes, do.	cheese cows, milk, too?	yes, do.
yes, do.	cows?	yes, do.	cows?	yes, do.	cows?
cows?	hamburgers steak.	cows?	hamburgers steak.	cows?	hamburgers steak.
hamburgers steak.	oh, that's delicious.	hamburgers steak.	oh, that's delicious.	hamburgers steak.	oh, that's delicious.
oh, that's delicious.	leather.	oh, that's delicious.	leather.	oh, that's delicious.	leather.
leather.	lot things cows, don't we?	leather.	lot things cows, don't we?	leather.	lot things cows, don't we?
lot things cows, don't we?	yes. cow man's best friend.	lot things cows, don't we?	yes. cow man's best friend.	lot things cows, don't we?	yes. cow man's best friend.
work deli.	like it?	work deli.	like it?	work deli.	like it?
like it?	loved it!	like it?	loved it!	like it?	loved it!
loved it!	free food?	loved it!	free food?	loved it!	free food?
free food?	ate free cheese meat day.	free food?	ate free cheese meat day.	free food?	ate free cheese meat day.
ate free cheese meat day.	sounds like great job.	ate free cheese meat day.	sounds like great job.	ate free cheese meat day.	sounds like great job.
sounds like great job.	customer ordered, sliced little me.	sounds like great job.	customer ordered, sliced little me.	sounds like great job.	customer ordered, sliced little me.
customer ordered, sliced little me.	fat?	customer ordered, sliced little me.	fat?	customer ordered, sliced little me.	fat?
fat?	no, pounds.	fat?	no, pounds.	fat?	no, pounds.
no, pounds.	sounds like dream job.	no, pounds.	sounds like dream job.	no, pounds.	sounds like dream job.
sounds like dream job.	was, day manager caught me.	sounds like dream job.	was, day manager caught me.	sounds like dream job.	was, day manager caught me.
was, day manager caught me.	free cheese you, huh?	was, day manager caught me.	free cheese you, huh?	was, day manager caught me.	free cheese you, huh?
i'm new diet.	eating now?	i'm new diet.	eating now?	i'm new diet.	eating now?
eating now?	switched pasta potatoes.	eating now?	switched pasta potatoes.	eating now?	switched pasta potatoes.
switched pasta potatoes.	that?	switched pasta potatoes.	that?	switched pasta potatoes.	that?
that?	pasta processed food. potatoes natural food.	that?	pasta processed food. potatoes natural food.	that?	pasta processed food. potatoes natural food.
pasta processed food. potatoes natural food.	natural food vitamins.	pasta processed food. potatoes natural food.	natural food vitamins.	pasta processed food. potatoes natural food.	natural food vitamins.
natural food vitamins.	it's easy prepare.	natural food vitamins.	it's easy prepare.	natural food vitamins.	it's easy prepare.
it's easy prepare.	prepare potatoes?	it's easy prepare.	prepare potatoes?	it's easy prepare.	prepare potatoes?
prepare potatoes?	wash them, steam 15 minutes.	prepare potatoes?	wash them, steam 15 minutes.	prepare potatoes?	wash them, steam 15 minutes.
wash them, steam 15 minutes.	that's pretty simple.	wash them, steam 15 minutes.	that's pretty simple.	wash them, steam 15 minutes.	that's pretty simple.
that's pretty simple.	add butter, salt, pepper.	that's pretty simple.	add butter, salt, pepper.	that's pretty simple.	add butter, salt, pepper.
add butter, salt, pepper.	cans tomato sauce bought pasta?	add butter, salt, pepper.	cans tomato sauce bought pasta?	add butter, salt, pepper.	cans tomato sauce bought pasta?
girlfriend's mom got mad dinner table.	that?	girlfriend's mom got mad dinner table.	that?	girlfriend's mom got mad dinner table.	that?
that?	sprinkled salt pepper food tasted it.	that?	sprinkled salt pepper food tasted it.	that?	sprinkled salt pepper food tasted it.
sprinkled salt pepper food tasted it.	what's matter that?	sprinkled salt pepper food tasted it.	what's matter that?	sprinkled salt pepper food tasted it.	what's matter that?
what's matter that?	mom great cook.	what's matter that?	mom great cook.	what's matter that?	mom great cook.
mom great cook.	so, little salt pepper hurt anything.	mom great cook.	so, little salt pepper hurt anything.	mom great cook.	so, little salt pepper hurt anything.
so, little salt pepper hurt anything.	hurt feelings.	so, little salt pepper hurt anything.	hurt feelings.	so, little salt pepper hurt anything.	hurt feelings.
hurt feelings.	oh.	hurt feelings.	oh.	hurt feelings.	oh.
oh.	apologized her, tell upset.	oh.	apologized her, tell upset.	oh.	apologized her, tell upset.
apologized her, tell upset.	maybe shouldn't eat again.	apologized her, tell upset.	maybe shouldn't eat again.	apologized her, tell upset.	maybe shouldn't eat again.
maybe shouldn't eat again.	i'm sure okay day two.	maybe shouldn't eat again.	i'm sure okay day two.	maybe shouldn't eat again.	i'm sure okay day two.
i'm sure okay day two.	it's girlfriend's fault. warned you.	i'm sure okay day two.	it's girlfriend's fault. warned you.	i'm sure okay day two.	it's girlfriend's fault. warned you.
eat thing day.	you're kidding.	eat thing day.	you're kidding.	eat thing day.	you're kidding.
you're kidding.	no, i'm serious.	you're kidding.	no, i'm serious.	you're kidding.	no, i'm serious.
no, i'm serious.	doesn't old?	no, i'm serious.	doesn't old?	no, i'm serious.	doesn't old?
doesn't old?	no, i'm eating food like.	doesn't old?	no, i'm eating food like.	doesn't old?	no, i'm eating food like.
no, i'm eating food like.	thing day day gets old.	no, i'm eating food like.	thing day day gets old.	no, i'm eating food like.	thing day day gets old.
thing day day gets old.	well, guess old, i'll change different.	thing day day gets old.	well, guess old, i'll change different.	thing day day gets old.	well, guess old, i'll change different.
well, guess old, i'll change different.	eat fruits vegetables day?	well, guess old, i'll change different.	eat fruits vegetables day?	well, guess old, i'll change different.	eat fruits vegetables day?
eat fruits vegetables day?	no, hate vegetables.	eat fruits vegetables day?	no, hate vegetables.	eat fruits vegetables day?	no, hate vegetables.
no, hate vegetables.	eat fruits.	no, hate vegetables.	eat fruits.	no, hate vegetables.	eat fruits.
eat fruits.	eat apples, banana, orange day.	eat fruits.	eat apples, banana, orange day.	eat fruits.	eat apples, banana, orange day.
eat apples, banana, orange day.	well, there's wrong that.	eat apples, banana, orange day.	well, there's wrong that.	eat apples, banana, orange day.	well, there's wrong that.
there's wrong orange.	what's wrong?	there's wrong orange.	what's wrong?	there's wrong orange.	what's wrong?
what's wrong?	it's orange!	what's wrong?	it's orange!	what's wrong?	it's orange!
it's orange!	orange isn't orange?	it's orange!	orange isn't orange?	it's orange!	orange isn't orange?
orange isn't orange?	no, it's dark pink!	orange isn't orange?	no, it's dark pink!	orange isn't orange?	no, it's dark pink!
no, it's dark pink!	sure? heard thing.	no, it's dark pink!	sure? heard thing.	no, it's dark pink!	sure? heard thing.
sure? heard thing.	peeled it, i'm looking right now.	sure? heard thing.	peeled it, i'm looking right now.	sure? heard thing.	peeled it, i'm looking right now.
peeled it, i'm looking right now.	let see. yes, you're right. orange pink.	peeled it, i'm looking right now.	let see. yes, you're right. orange pink.	peeled it, i'm looking right now.	let see. yes, you're right. orange pink.
let see. yes, you're right. orange pink.	heard thing?	let see. yes, you're right. orange pink.	heard thing?	let see. yes, you're right. orange pink.	heard thing?
heard thing?	oh, look. here's little sticker it. it's called pink navel.	heard thing?	oh, look. here's little sticker it. it's called pink navel.	heard thing?	oh, look. here's little sticker it. it's called pink navel.
oh, look. here's little sticker it. it's called pink navel.	world coming to?	oh, look. here's little sticker it. it's called pink navel.	world coming to?	oh, look. here's little sticker it. it's called pink navel.	world coming to?
world coming to?	knows? maybe soon we'll pink bananas.	world coming to?	knows? maybe soon we'll pink bananas.	world coming to?	knows? maybe soon we'll pink bananas.
love peanuts.	me, too. love roasted salted.	love peanuts.	me, too. love roasted salted.	love peanuts.	me, too. love roasted salted.
me, too. love roasted salted.	love boiled peanuts.	me, too. love roasted salted.	love boiled peanuts.	me, too. love roasted salted.	love boiled peanuts.
love boiled peanuts.	boiled? heard that.	love boiled peanuts.	boiled? heard that.	love boiled peanuts.	boiled? heard that.
boiled? heard that.	boil raw peanuts salt water shells soft.	boiled? heard that.	boil raw peanuts salt water shells soft.	boiled? heard that.	boil raw peanuts salt water shells soft.
boil raw peanuts salt water shells soft.	i'll try sometime.	boil raw peanuts salt water shells soft.	i'll try sometime.	boil raw peanuts salt water shells soft.	i'll try sometime.
i'll try sometime.	they're best they're hot.	i'll try sometime.	they're best they're hot.	i'll try sometime.	they're best they're hot.
they're best they're hot.	brother allergic peanuts.	they're best they're hot.	brother allergic peanuts.	they're best they're hot.	brother allergic peanuts.
brother allergic peanuts.	that's good.	brother allergic peanuts.	that's good.	brother allergic peanuts.	that's good.
that's good.	no, isn't. died little.	that's good.	no, isn't. died little.	that's good.	no, isn't. died little.
no, isn't. died little.	guess careful eats.	no, isn't. died little.	guess careful eats.	no, isn't. died little.	guess careful eats.
guess careful eats.	strict diet.	guess careful eats.	strict diet.	guess careful eats.	strict diet.
i'm gaining weight.	gained?	i'm gaining weight.	gained?	i'm gaining weight.	gained?
gained?	pounds month.	gained?	pounds month.	gained?	pounds month.
pounds month.	know why?	pounds month.	know why?	pounds month.	know why?
know why?	think it's ice cream.	know why?	think it's ice cream.	know why?	think it's ice cream.
think it's ice cream.	started eating ice cream?	think it's ice cream.	started eating ice cream?	think it's ice cream.	started eating ice cream?
started eating ice cream?	sale.	started eating ice cream?	sale.	started eating ice cream?	sale.
sale.	buy?	sale.	buy?	sale.	buy?
buy?	filled freezer ice cream.	buy?	filled freezer ice cream.	buy?	filled freezer ice cream.
filled freezer ice cream.	well, won't forever.	filled freezer ice cream.	well, won't forever.	filled freezer ice cream.	well, won't forever.
well, won't forever.	no, figure i'll finish week.	well, won't forever.	no, figure i'll finish week.	well, won't forever.	no, figure i'll finish week.
no, figure i'll finish week.	start losing weight, isn't sale.	no, figure i'll finish week.	start losing weight, isn't sale.	no, figure i'll finish week.	start losing weight, isn't sale.
i'm stuffed.	course are. ate table.	i'm stuffed.	course are. ate table.	i'm stuffed.	course are. ate table.
course are. ate table.	don't like eat leftovers.	course are. ate table.	don't like eat leftovers.	course are. ate table.	don't like eat leftovers.
don't like eat leftovers.	i'm glad hear there's don't like eat.	don't like eat leftovers.	i'm glad hear there's don't like eat.	don't like eat leftovers.	i'm glad hear there's don't like eat.
i'm glad hear there's don't like eat.	like food hot fresh.	i'm glad hear there's don't like eat.	like food hot fresh.	i'm glad hear there's don't like eat.	like food hot fresh.
like food hot fresh.	like disappear.	like food hot fresh.	like disappear.	like food hot fresh.	like disappear.
like disappear.	don't like reheated.	like disappear.	don't like reheated.	like disappear.	don't like reheated.
don't like reheated.	well, you'll hot fresh food tomorrow night.	don't like reheated.	well, you'll hot fresh food tomorrow night.	don't like reheated.	well, you'll hot fresh food tomorrow night.
well, you'll hot fresh food tomorrow night.	i'm i'm going burst.	well, you'll hot fresh food tomorrow night.	i'm i'm going burst.	well, you'll hot fresh food tomorrow night.	i'm i'm going burst.
i'm i'm going burst.	loosen belt.	i'm i'm going burst.	loosen belt.	i'm i'm going burst.	loosen belt.
loosen belt.	loosened belt unbuttoned pants.	loosen belt.	loosened belt unbuttoned pants.	loosen belt.	loosened belt unbuttoned pants.
loosened belt unbuttoned pants.	well, don't stand up, please.	loosened belt unbuttoned pants.	well, don't stand up, please.	loosened belt unbuttoned pants.	well, don't stand up, please.
saw did.	didn't anything.	saw did.	didn't anything.	saw did.	didn't anything.
didn't anything.	oh yes, did.	didn't anything.	oh yes, did.	didn't anything.	oh yes, did.
oh yes, did.	talking about?	oh yes, did.	talking about?	oh yes, did.	talking about?
talking about?	know i'm talking about.	talking about?	know i'm talking about.	talking about?	know i'm talking about.
know i'm talking about.	don't idea.	know i'm talking about.	don't idea.	know i'm talking about.	don't idea.
don't idea.	know did.	don't idea.	know did.	don't idea.	know did.
know did.	maybe know, know?	know did.	maybe know, know?	know did.	maybe know, know?
maybe know, know?	watching you.	maybe know, know?	watching you.	maybe know, know?	watching you.
watching you.	okay, i'm sorry it.	watching you.	okay, i'm sorry it.	watching you.	okay, i'm sorry it.
okay, i'm sorry it.	don't drink milk carton. use glass!	okay, i'm sorry it.	don't drink milk carton. use glass!	okay, i'm sorry it.	don't drink milk carton. use glass!
don't drink milk carton. use glass!	promise i'll drink carton again.	don't drink milk carton. use glass!	promise i'll drink carton again.	don't drink milk carton. use glass!	promise i'll drink carton again.
like shirt.	i.	like shirt.	i.	like shirt.	i.
i.	it?	i.	it?	i.	it?
it?	don't know. tag missing.	it?	don't know. tag missing.	it?	don't know. tag missing.
don't know. tag missing.	ask clerk.	don't know. tag missing.	ask clerk.	don't know. tag missing.	ask clerk.
